Category,License_number,Begin_reporting_period,End_reporting_period,Total_sales,Excise_tax_due
PROCESSORS,412249.0,2014-10-01,2014-10-31,47970.28,11992.57
PROCESSORS,412149.0,2014-10-01,2014-10-31,301533.0,75383.25
PROCESSORS,412299.0,2014-10-01,2014-10-31,45762.22,11440.56
PROCESSORS,412239.0,2014-10-01,2014-10-31,12860.0,3215.0
PROCESSORS,412672.0,2014-10-01,2014-10-31,268665.48,67166.37
PROCESSORS,412295.0,2014-10-01,2014-10-31,106888.5,26722.13
PROCESSORS,412645.0,2014-10-01,2014-10-31,4144.0,1036.0
PROCESSORS,412402.0,2014-10-01,2014-10-31,32239.0,8059.75
PROCESSORS,412601.0,2014-10-01,2014-10-31,28893.07,7223.27
PROCESSORS,412273.0,2014-10-01,2014-10-31,164885.5,41221.38
PROCESSORS,412109.0,2014-10-01,2014-10-31,19908.0,4977.0
PROCESSORS,412686.0,2014-10-01,2014-10-31,11032.5,2758.13
PROCESSORS,412762.0,2014-10-01,2014-10-31,47072.75,11768.19
PROCESSORS,412217.0,2014-10-01,2014-10-31,177102.0,44275.5
PROCESSORS,414041.0,2014-10-01,2014-10-31,67562.0,16890.5
PROCESSORS,412073.0,2014-10-01,2014-10-31,8580.0,2145.0
PROCESSORS,413719.0,2014-10-01,2014-10-31,3391.02,847.76
PROCESSORS,412208.0,2014-10-01,2014-10-31,11580.0,2895.0
PROCESSORS,412784.0,2014-10-01,2014-10-31,96.0,24.0
PROCESSORS,416606.0,2014-10-01,2014-10-31,2834.0,708.5
PROCESSORS,414462.0,2014-10-01,2014-10-31,10138.0,2534.5
PROCESSORS,412337.0,2014-10-01,2014-10-31,24537.45,6134.36
PROCESSORS,412053.0,2014-10-01,2014-10-31,235251.64,58812.91
PROCESSORS,419150.0,2014-10-01,2014-10-31,6460.76,1615.19
PROCESSORS,412311.0,2014-10-01,2014-10-31,82810.0,20702.5
PROCESSORS,413038.0,2014-10-01,2014-10-31,127225.62,31806.41
PROCESSORS,412681.0,2014-11-01,2014-11-30,30504.12,7626.03
PROCESSORS,417794.0,2014-11-01,2014-11-30,41007.8,10251.95
PROCESSORS,412609.0,2014-11-01,2014-11-30,11424.33,2856.08
PROCESSORS,412169.0,2014-11-01,2014-11-30,3752.0,938.0
PROCESSORS,412154.0,2014-11-01,2014-11-30,22635.81,5658.95
PROCESSORS,412337.0,2014-11-01,2014-11-30,57149.51,14287.38
PROCESSORS,412601.0,2014-11-01,2014-11-30,21536.1,5384.03
PROCESSORS,412311.0,2014-11-01,2014-11-30,54585.0,13646.25
PROCESSORS,412402.0,2014-11-01,2014-11-30,50174.11,12543.53
PROCESSORS,415707.0,2014-11-01,2014-11-30,32235.0,8058.75
PROCESSORS,412819.0,2014-11-01,2014-11-30,6040.0,1510.0
PROCESSORS,412022.0,2014-11-01,2014-11-30,19232.0,4808.0
PROCESSORS,412149.0,2014-11-01,2014-11-30,295912.11,73978.03
PROCESSORS,412232.0,2014-11-01,2014-11-30,880.0,220.0
PROCESSORS,415680.0,2014-11-01,2014-11-30,4034.0,1008.5
PROCESSORS,412762.0,2014-11-01,2014-11-30,39116.5,9779.13
PROCESSORS,412784.0,2014-11-01,2014-11-30,2479.52,619.88
PROCESSORS,414905.0,2014-11-01,2014-11-30,17532.43,4383.11
PROCESSORS,412073.0,2014-11-01,2014-11-30,6651.0,1662.75
PROCESSORS,413038.0,2014-11-01,2014-11-30,39512.75,9878.19
PROCESSORS,412943.0,2014-11-01,2014-11-30,57554.82,14388.7
PROCESSORS,412075.0,2014-11-01,2014-11-30,22504.0,5626.0
PROCESSORS,412079.0,2014-11-01,2014-11-30,39069.0,9767.25
PROCESSORS,412069.0,2014-11-01,2014-11-30,18307.91,4576.98
PROCESSORS,417460.0,2014-11-01,2014-11-30,51734.3,12933.58
PROCESSORS,412044.0,2014-11-01,2014-11-30,5376.0,1344.0
PROCESSORS,412570.0,2014-11-01,2014-11-30,6380.0,1595.0
PROCESSORS,412053.0,2014-11-01,2014-11-30,169687.86,42421.97
PROCESSORS,412135.0,2014-11-01,2014-11-30,121011.39,30252.84
PROCESSORS,413943.0,2014-11-01,2014-11-30,48437.1,12109.28
PROCESSORS,412118.0,2014-11-01,2014-11-30,56556.8,14139.2
PROCESSORS,412942.0,2014-11-01,2014-11-30,5627.0,1406.75
PROCESSORS,412240.0,2014-11-01,2014-11-30,130831.83,32707.96
PROCESSORS,412063.0,2014-11-01,2014-11-30,12226.0,3056.5
PROCESSORS,412618.0,2014-11-01,2014-11-30,170305.54,42576.39
PROCESSORS,413135.0,2014-11-01,2014-11-30,25570.7,6392.68
PROCESSORS,412645.0,2014-11-01,2014-11-30,14969.0,3742.25
PROCESSORS,412616.0,2014-11-01,2014-11-30,39294.5,9823.63
PROCESSORS,415762.0,2014-11-01,2014-11-30,94840.88,23710.22
PROCESSORS,412653.0,2014-11-01,2014-11-30,37172.0,9293.0
PROCESSORS,416562.0,2014-11-01,2014-11-30,23769.0,5942.25
PROCESSORS,413123.0,2014-11-01,2014-11-30,9795.75,2448.94
PROCESSORS,412567.0,2014-11-01,2014-11-30,13937.0,3484.25
PROCESSORS,412299.0,2014-11-01,2014-11-30,34263.09,8565.77
PROCESSORS,415783.0,2014-11-01,2014-11-30,20517.5,5129.38
PROCESSORS,412138.0,2014-11-01,2014-11-30,8100.0,2025.0
PROCESSORS,412295.0,2014-11-01,2014-11-30,98168.39,24542.1
PROCESSORS,416539.0,2014-11-01,2014-11-30,2796.0,699.0
PROCESSORS,412273.0,2014-11-01,2014-11-30,105313.5,26328.38
PROCESSORS,412096.0,2014-11-01,2014-11-30,66436.0,16609.0
PROCESSORS,412426.0,2014-11-01,2014-11-30,16652.16,4163.04
PROCESSORS,415695.0,2014-11-01,2014-11-30,25339.8,6334.95
PROCESSORS,412692.0,2014-11-01,2014-11-30,14286.85,3571.71
PROCESSORS,416606.0,2014-11-01,2014-11-30,7598.36,1899.59
PROCESSORS,412686.0,2014-11-01,2014-11-30,11838.75,2959.69
PROCESSORS,412077.0,2014-11-01,2014-11-30,59579.0,14894.75
PROCESSORS,412233.0,2014-11-01,2014-11-30,22843.0,5710.75
PROCESSORS,412759.0,2014-11-01,2014-11-30,133002.05,33250.51
PROCESSORS,418408.0,2014-11-01,2014-11-30,1050.0,262.5
PROCESSORS,412617.0,2014-11-01,2014-11-30,6016.0,1504.0
PROCESSORS,412792.0,2014-11-01,2014-11-30,348255.43,87063.86
PROCESSORS,412672.0,2014-11-01,2014-11-30,130126.11,32531.53
PROCESSORS,412304.0,2014-11-01,2014-11-30,3100.0,775.0
PROCESSORS,413706.0,2014-11-01,2014-11-30,2655.0,663.75
PROCESSORS,412060.0,2014-11-01,2014-11-30,13865.9,3466.48
PROCESSORS,417526.0,2014-11-01,2014-11-30,12374.0,3093.5
PROCESSORS,412679.0,2014-11-01,2014-11-30,5820.5,1455.13
PROCESSORS,417623.0,2014-11-01,2014-11-30,21621.75,5405.44
PROCESSORS,412208.0,2014-11-01,2014-11-30,30350.0,7587.5
PROCESSORS,415822.0,2014-11-01,2014-11-30,22405.8,5601.45
PROCESSORS,415697.0,2014-11-01,2014-11-30,52353.22,13088.31
PROCESSORS,413324.0,2014-11-01,2014-11-30,33593.55,8398.39
PROCESSORS,416859.0,2014-11-01,2014-11-30,14621.0,3655.25
PROCESSORS,413078.0,2014-11-01,2014-11-30,83604.0,20901.0
PROCESSORS,417525.0,2014-11-01,2014-11-30,5286.5,1321.63
PROCESSORS,415914.0,2014-11-01,2014-11-30,2325.0,581.25
PROCESSORS,413652.0,2014-11-01,2014-11-30,7839.0,1959.75
PROCESSORS,415726.0,2014-11-01,2014-11-30,2688.0,672.0
PROCESSORS,417950.0,2014-11-01,2014-11-30,4032.0,1008.0
PROCESSORS,412213.0,2014-11-01,2014-11-30,47759.39,11939.85
PROCESSORS,412236.0,2014-11-01,2014-11-30,27600.0,6900.0
PROCESSORS,412724.0,2014-11-01,2014-11-30,56988.0,14247.0
PROCESSORS,414462.0,2014-11-01,2014-11-30,78649.06,19662.27
PROCESSORS,412249.0,2014-11-01,2014-11-30,34488.8,8622.2
PROCESSORS,412107.0,2014-11-01,2014-11-30,62905.7,15726.43
PROCESSORS,412352.0,2014-11-01,2014-11-30,2609.25,652.31
PROCESSORS,413718.0,2014-11-01,2014-11-30,3775.0,943.75
PROCESSORS,415998.0,2014-11-01,2014-11-30,25071.5,6267.88
PROCESSORS,412403.0,2014-11-01,2014-11-30,6795.2,1698.8
PROCESSORS,413179.0,2014-11-01,2014-11-30,16090.0,4022.5
PROCESSORS,415700.0,2014-11-01,2014-11-30,60131.5,15032.88
PROCESSORS,412603.0,2014-11-01,2014-11-30,3568.0,892.0
PROCESSORS,412449.0,2014-11-01,2014-11-30,2710.69,677.67
PROCESSORS,413076.0,2014-11-01,2014-11-30,28768.25,7192.06
PROCESSORS,412144.0,2014-11-01,2014-11-30,26465.9,6616.48
PROCESSORS,412061.0,2014-11-01,2014-11-30,12681.7,3170.43
PROCESSORS,419150.0,2014-11-01,2014-11-30,3038.0,759.5
PROCESSORS,416063.0,2014-11-01,2014-11-30,46684.0,11671.0
PROCESSORS,412155.0,2014-11-01,2014-11-30,23495.75,5873.94
PROCESSORS,416315.0,2014-11-01,2014-11-30,26178.5,6544.63
PROCESSORS,412527.0,2014-11-01,2014-11-30,18981.0,4745.25
PROCESSORS,417385.0,2014-11-01,2014-11-30,18860.0,4715.0
PROCESSORS,413130.0,2014-11-01,2014-11-30,14612.0,3653.0
PROCESSORS,412106.0,2014-11-01,2014-11-30,17514.1,4378.53
PROCESSORS,412688.0,2014-11-01,2014-11-30,78172.0,19543.0
PROCESSORS,412084.0,2014-11-01,2014-11-30,67570.63,16892.65
PROCESSORS,414041.0,2014-11-01,2014-11-30,45298.62,11324.66
PROCESSORS,412109.0,2014-11-01,2014-11-30,48304.51,12076.13
PROCESSORS,412099.0,2014-11-01,2014-11-30,6947.5,1736.88
PROCESSORS,412901.0,2014-11-01,2014-11-30,40670.52,10167.63
PROCESSORS,414323.0,2014-11-01,2014-11-30,183996.54,45999.14
PROCESSORS,412218.0,2014-11-01,2014-11-30,3674.14,918.54
PROCESSORS,412969.0,2014-11-01,2014-11-30,133927.06,33481.77
PROCESSORS,412217.0,2014-11-01,2014-11-30,138462.09,34615.52
PROCESSORS,412252.0,2014-11-01,2014-11-30,276138.0,69034.5
PROCESSORS,412104.0,2014-11-01,2014-11-30,6130.0,1532.5
PROCESSORS,413719.0,2014-11-01,2014-11-30,10409.57,2602.39
PROCESSORS,413864.0,2014-11-01,2014-11-30,20212.5,5053.13
PROCESSORS,417585.0,2014-11-01,2014-11-30,-7122.0,-1780.5
PROCESSORS,412084.0,2014-12-01,2014-12-31,31756.01,7939.0
PROCESSORS,412079.0,2014-12-01,2014-12-31,10548.0,2637.0
PROCESSORS,412123.0,2014-12-01,2014-12-31,3551.0,887.75
PROCESSORS,412107.0,2014-12-01,2014-12-31,13532.25,3383.06
PROCESSORS,412075.0,2014-12-01,2014-12-31,26710.0,6677.5
PROCESSORS,412069.0,2014-12-01,2014-12-31,33515.8,8378.95
PROCESSORS,412217.0,2014-12-01,2014-12-31,141368.55,35342.14
PROCESSORS,412106.0,2014-12-01,2014-12-31,18957.66,4739.42
PROCESSORS,412688.0,2014-12-01,2014-12-31,55338.75,13834.69
PROCESSORS,412585.0,2014-12-01,2014-12-31,9015.32,2253.83
PROCESSORS,412527.0,2014-12-01,2014-12-31,10191.75,2547.94
PROCESSORS,412239.0,2014-12-01,2014-12-31,1428.0,357.0
PROCESSORS,412144.0,2014-12-01,2014-12-31,16079.65,4019.91
PROCESSORS,414323.0,2014-12-01,2014-12-31,49216.0,12304.0
PROCESSORS,412135.0,2014-12-01,2014-12-31,133417.53,33354.38
PROCESSORS,412233.0,2014-12-01,2014-12-31,13100.0,3275.0
PROCESSORS,412053.0,2014-12-01,2014-12-31,124679.05,31169.76
PROCESSORS,415998.0,2014-12-01,2014-12-31,34910.0,8727.5
PROCESSORS,413038.0,2014-12-01,2014-12-31,47462.25,11865.56
PROCESSORS,417794.0,2014-12-01,2014-12-31,46260.4,11565.1
PROCESSORS,412618.0,2014-12-01,2014-12-31,123885.05,30971.26
PROCESSORS,412943.0,2014-12-01,2014-12-31,10233.0,2558.25
PROCESSORS,412213.0,2014-12-01,2014-12-31,7744.0,1936.0
PROCESSORS,412218.0,2014-12-01,2014-12-31,9047.08,2261.77
PROCESSORS,412118.0,2014-12-01,2014-12-31,63873.34,15968.34
PROCESSORS,414041.0,2014-12-01,2014-12-31,80420.02,20105.01
PROCESSORS,412044.0,2014-12-01,2014-12-31,6384.0,1596.0
PROCESSORS,412609.0,2014-12-01,2014-12-31,16622.6,4155.65
PROCESSORS,414905.0,2014-12-01,2014-12-31,9662.5,2415.63
PROCESSORS,412337.0,2014-12-01,2014-12-31,16398.0,4099.5
PROCESSORS,412759.0,2014-12-01,2014-12-31,179253.86,44813.47
PROCESSORS,417526.0,2014-12-01,2014-12-31,23167.01,5791.75
