Begin_reporting_period,End_reporting_period,Producer_sales,Processor_sales,Retailer_sales,Total_sales,Producer_excise_due,Processor_excise_due,Retailer_excise_due,Total_excise_due
2015-09-01,2015-09-30,1964066.950000001,1.9667503840000007E7,3.7923333500000015E7,5.955490429000002E7,-5.3,-4846.300000000001,1.4031633389999995E7,1.4026781789999995E7
2015-10-01,2015-10-31,3105448.7299999995,2.003588584000001E7,3.81164308E7,6.1257765370000005E7,-14.38,-9038.24,1.4103079390000002E7,1.4094026770000003E7
2015-11-01,2015-11-30,3612558.969999999,1.8179259419999994E7,3.565240320000001E7,5.744422159E7,-5625.0,-6292.599999999999,1.3191389199999992E7,1.3179471599999992E7
2015-12-01,2015-12-31,2336711.2700000005,1.7971770579999994E7,4.019561048000001E7,6.0504092330000006E7,-131.61,-1770.3899999999999,1.4872375899999991E7,1.4870473899999991E7
2016-01-01,2016-01-31,2128530.5899999994,2.159186511000001E7,3.959599166E7,6.331638736000001E7,0.0,-3854.9900000000002,1.4650516940000003E7,1.4646661950000003E7
2016-02-01,2016-02-29,2212229.129999999,2.0897657750000004E7,4.2329157759999976E7,6.543904463999998E7,0.0,-2789.33,1.5661788329999981E7,1.5658998999999981E7
2016-03-01,2016-03-31,2960722.680000001,2.4129420460000005E7,4.6713359160000026E7,7.380350230000003E7,0.0,-1631.54,1.728394287E7,1.7282311330000002E7
2016-04-01,2016-04-30,2505025.7900000024,2.532119142999999E7,4.903684132999995E7,7.686305854999995E7,0.0,-1348.8300000000002,1.8143631280000005E7,1.8142282450000007E7
2016-05-01,2016-05-31,3052369.3499999996,2.573376411999999E7,5.182063178000003E7,8.060676525000003E7,0.0,-1552.3600000000001,1.9173633740000006E7,1.9172081380000006E7
2016-06-01,2016-06-30,3640729.3400000003,2.9039345120000012E7,5.385639677999999E7,8.653647124E7,-321.94,-1687.1599999999999,1.992686683E7,1.9924857729999997E7
2016-07-01,2016-07-31,3481054.2400000007,3.0805382920000006E7,6.4240912709999986E7,9.852734986999999E7,0.0,-727.13,2.3769137730000004E7,2.3768410600000005E7
2016-08-01,2016-08-31,4010003.859999999,3.801802635000001E7,6.816842825999999E7,1.1019645847E8,-509.09,-415.92,2.5222318500000022E7,2.522139349000002E7
2016-09-01,2016-09-30,4404583.44,3.903160839E7,7.090293264999995E7,1.1433912447999994E8,-1749.06,-399.7,2.623408512000001E7,2.6231936360000007E7
2016-10-01,2016-10-31,8806447.809999995,3.718610841000002E7,6.924249101000004E7,1.1523504723000005E8,0.0,-549.41,2.5619721679999974E7,2.5619172269999973E7
2016-11-01,2016-11-30,7785840.100000007,3.685966916E7,6.719417219000001E7,1.1183968145000002E8,0.0,-591.86,2.4861843660000004E7,2.4861251800000004E7
2016-12-01,2016-12-31,6094311.75,3.298741007000002E7,7.313020663000007E7,1.1221192845000009E8,0.0,-477.56999999999994,2.705817646999999E7,2.705769889999999E7
2017-01-01,2017-01-31,5932437.799999999,4.0019425900000006E7,6.774584985000001E7,1.1369771355000001E8,0.0,-496.89,2.5065964489999995E7,2.5065467599999994E7
2017-02-01,2017-02-28,4075355.449999999,3.4700912129999995E7,6.751714762000003E7,1.0629341520000002E8,0.0,-180.09,2.498134464E7,2.498116455E7
2017-03-01,2017-03-31,6028029.0200000005,4.2313315520000026E7,7.646797707000001E7,1.2480932161000004E8,0.0,-83.88,2.829315164000001E7,2.8293067760000013E7
2017-04-01,2017-04-30,5848999.720000002,3.928925554E7,7.419068704999998E7,1.1932894230999997E8,0.0,-85.72999999999999,2.745055418000002E7,2.7450468450000018E7
2017-05-01,2017-05-31,5338475.919999999,3.962915131999997E7,7.482596481999996E7,1.1979359205999994E8,0.0,-191.37,2.768560705999999E7,2.768541568999999E7
2017-06-01,2017-06-30,5970303.810000001,4.231025654000002E7,7.730905133999999E7,1.2558961169000001E8,0.0,-136.0,2.8604349019999996E7,2.8604213019999996E7
2017-07-01,2017-07-31,5786050.609999999,4.033645134E7,8.076221048000006E7,1.2688471243000007E8,0.0,-89.9,2.988201792E7,2.9881928020000003E7
2017-08-01,2017-08-31,6837937.299999998,4.354697240999998E7,8.319886191E7,1.3358377161999997E8,0.0,-131.76,3.0783578939999998E7,3.0783447179999996E7
2017-09-01,2017-09-30,6908538.520000001,4.231317705999998E7,8.232853295000005E7,1.3155024853000003E8,0.0,0.0,3.046155715000001E7,3.046155715000001E7
2017-10-01,2017-10-31,1.2698646559999997E7,4.9648615159999974E7,7.969836854999998E7,1.4204563026999995E8,0.0,-117.5,2.948839642E7,2.948827892E7
2014-06-01,2017-10-31,1.3575835584E8,9.576184718799998E8,1.85850299528E9,2.951879823E9,1469578.9400000004,1.8446390749999993E7,6.660903801399999E8,6.860063498299998E8
